RANK,PLAYER,TEAM,FGM,FG3M,FTM,PTS,EFF
1,James Harden,HOU,843,378,754,2818,2581
2,Paul George,OKC,707,292,453,2159,2110
3,Kemba Walker,CHA,731,260,380,2102,1849
4,Bradley Beal,WAS,764,209,362,2099,1982
5,Damian Lillard,POR,681,237,468,2067,2002
6,Kevin Durant,GSW,721,137,448,2027,2178
7,Giannis Antetokounmpo,MIL,721,52,500,1994,2538
8,Stephen Curry,GSW,632,354,263,1881,1804
9,Karl-Anthony Towns,MIN,681,142,376,1880,2338
10,Blake Griffin,DET,619,189,414,1841,1777
11,Donovan Mitchell,UTA,661,188,319,1829,1440
12,Joel Embiid,PHI,580,79,522,1761,2062
13,LaMarcus Aldridge,SAS,684,10,349,1727,1973
14,D'Angelo Russell,BKN,659,234,160,1712,1554
15,Devin Booker,PHX,586,135,393,1700,1473
16,Buddy Hield,SAC,623,278,171,1695,1498
17,Klay Thompson,GSW,655,241,129,1680,1405
18,Russell Westbrook,OKC,630,119,296,1675,2118
19,Nikola Vucevic,ORL,701,84,179,1665,2242
20,Tobias Harris,PHI,611,156,266,1644,1771
21,DeMar DeRozan,SAS,631,7,366,1635,1738
22,Nikola Jokic,DEN,616,83,289,1604,2311
23,Kawhi Leonard,TOR,560,112,364,1596,1612
23,Kyrie Irving,BOS,604,174,214,1596,1692
25,Julius Randle,NOP,571,67,356,1565,1668
26,Trae Young,ATL,525,156,343,1549,1480
27,Luka Doncic,DAL,506,168,346,1526,1554
28,LeBron James,LAL,558,111,278,1505,1655
29,Lou Williams,LAC,484,105,425,1498,1295
30,Zach LaVine,CHI,530,120,312,1492,1272
31,Mike Conley,MEM,490,155,343,1478,1459
32,CJ McCollum,POR,571,167,159,1468,1229
33,Bojan Bogdanovic,IND,522,164,246,1454,1296
34,Anthony Davis,NOP,530,48,344,1452,1868
35,Jrue Holiday,NOP,547,118,208,1420,1550
36,Khris Middleton,MIL,506,179,216,1407,1428
37,De'Aaron Fox,SAC,505,86,303,1399,1533
38,JJ Redick,PHI,452,240,228,1372,1110
39,Collin Sexton,CLE,519,119,214,1371,987
40,Andre Drummond,DET,561,5,243,1370,2153
41,Jamal Murray,DEN,513,152,189,1367,1289
42,Jordan Clarkson,CLE,529,144,162,1364,1084
43,Montrezl Harrell,LAC,546,3,266,1361,1617
44,Pascal Siakam,TOR,519,79,237,1354,1631
45,Danilo Gallinari,LAC,409,161,367,1346,1400
46,Ben Simmons,PHI,540,0,257,1337,1952
47,Andrew Wiggins,MIN,498,118,207,1321,1037
48,Kyle Kuzma,LAL,496,128,188,1308,1149
49,Rudy Gobert,UTA,476,0,332,1284,2183
50,Harrison Barnes,SAC,431,174,229,1265,1061
51,Reggie Jackson,DET,441,174,204,1260,1098
52,Aaron Gordon,ORL,470,121,185,1246,1416
53,Jayson Tatum,BOS,466,116,195,1243,1304
54,Eric Bledsoe,MIL,470,124,177,1241,1453
55,Evan Fournier,ORL,468,153,137,1226,1074
56,Dennis Schroder,OKC,457,124,186,1224,1048
57,Terrence Ross,ORL,440,217,126,1223,1044
58,Jimmy Butler,PHI,418,67,312,1215,1348
59,Josh Richardson,MIA,423,164,199,1209,1135
60,Jeremy Lamb,CHA,431,115,231,1208,1277
61,John Collins,ATL,465,55,203,1188,1416
62,Tim Hardaway Jr.,DAL,390,162,232,1174,865
63,Deandre Ayton,PHX,509,0,141,1159,1606
64,Spencer Dinwiddie,BKN,366,124,287,1143,994
65,Jusuf Nurkic,POR,420,3,282,1125,1623
66,Clint Capela,HOU,474,0,166,1114,1757
67,Serge Ibaka,TOR,464,49,135,1112,1375
68,Steven Adams,OKC,481,0,146,1108,1576
69,Eric Gordon,HOU,384,216,119,1103,771
70,Jerami Grant,OKC,409,115,157,1090,1202
71,Dwyane Wade,MIA,416,86,165,1083,988
