RANK,PLAYER,TEAM,FGM,FG3M,FTM,PTS,EFF
72,Marc Gasol,TOR,390,99,192,1071,1521
73,Kelly Oubre Jr.,PHX,375,108,189,1047,974
74,Marcus Morris Sr.,BOS,377,146,146,1046,1095
75,Domantas Sabonis,IND,413,9,208,1043,1493
76,Joe Harris,BKN,374,183,110,1041,1050
77,Thaddeus Young,IND,443,51,87,1024,1341
78,Brook Lopez,MIL,355,187,112,1009,1199
79,Malcolm Brogdon,MIL,378,104,141,1001,1081
80,Joe Ingles,UTA,359,189,87,994,1239
81,Cedi Osman,CLE,360,130,141,991,976
82,Bogdan Bogdanovic,SAC,361,134,134,990,940
83,Myles Turner,IND,380,76,148,984,1336
84,Lauri Markkanen,CHI,342,120,170,974,1026
85,Bryn Forbes,SAS,361,176,69,967,911
86,Willie Cauley-Stein,SAC,412,1,140,965,1457
87,Jaylen Brown,BOS,368,95,133,964,886
88,Kevin Knox II,NYK,338,125,162,963,693
89,Jae Crowder,UTA,318,173,142,951,944
90,Brandon Ingram,LAL,362,31,195,950,840
91,D.J. Augustin,ORL,318,131,181,948,1118
92,Jeff Green,WAS,326,111,183,946,989
92,Rudy Gay,SAS,376,74,120,946,1175
94,Kentavious Caldwell-Pope,LAL,325,151,137,938,855
95,Jabari Parker,WAS,369,61,131,930,995
96,Kyle Lowry,TOR,304,157,161,926,1274
97,Al Horford,BOS,387,73,78,925,1356
98,Marvin Bagley III,SAC,356,30,181,923,1019
99,Derrick Rose,MIN,363,54,137,917,825
99,Malik Beasley,DEN,349,163,56,917,826
101,Enes Freedom,POR,375,10,155,915,1280
102,Josh Jackson,PHX,347,73,143,910,833
103,Chris Paul,HOU,302,127,175,906,1178
104,Derrick Favors,UTA,363,17,154,897,1294
104,JaVale McGee,LAL,400,1,96,897,1305
106,Shai Gilgeous-Alexander,LAC,341,51,156,889,977
107,Hassan Whiteside,MIA,388,2,109,887,1419
108,Paul Millsap,DEN,322,58,181,883,1160
109,Emmanuel Mudiay,NYK,330,69,144,873,767
109,Jarrett Allen,BKN,335,6,197,873,1401
111,Ricky Rubio,UTA,295,79,195,864,976
112,Trevor Ariza,WAS,294,145,130,863,1016
113,Dario Saric,MIN,304,118,132,858,989
114,Justin Holiday,MEM,300,162,95,857,891
115,Alex Len,ATL,320,74,140,854,959
116,Darren Collison,IND,308,79,158,853,1155
117,Monte Morris,DEN,346,94,65,851,995
118,Wesley Matthews,IND,279,150,132,840,700
119,Justise Winslow,MIA,324,96,86,830,940
120,Marco Belinelli,SAS,285,147,112,829,713
121,Gordon Hayward,BOS,296,77,156,825,1001
122,Danny Green,TOR,293,198,37,821,971
123,Dwight Powell,DAL,290,39,196,815,1111
124,Patty Mills,SAS,282,159,88,811,808
125,Rodney Hood,POR,292,84,137,805,707
126,Jaren Jackson Jr.,MEM,298,51,151,798,833
127,Kelly Olynyk,MIA,261,113,152,787,942
128,Otto Porter Jr.,CHI,299,104,78,780,900
129,Damyean Dotson,NYK,290,126,73,779,740
129,Kent Bazemore,ATL,278,96,127,779,741
131,T.J. Warren,PHX,297,77,101,772,701
132,Jonas Valanciunas,MEM,301,14,147,763,959
133,Al-Farouq Aminu,POR,257,96,150,760,1144
134,DeAndre Jordan,NYK,286,0,186,758,1540
134,Thomas Bryant,WAS,309,33,107,758,1113
136,Marvin Williams,CHA,275,140,66,756,943
137,Taj Gibson,MIN,304,11,134,753,1038
138,DeMarre Carroll,BKN,227,106,184,744,740
139,Taurean Prince,ATL,262,123,95,742,678
140,Nemanja Bjelica,SAC,284,103,70,741,1029
141,Gary Harris,DEN,270,82,115,737,634
142,Bam Adebayo,MIA,280,3,166,729,1259
143,Kevin Huerter,ATL,275,136,41,727,770
144,Dennis Smith Jr.,NYK,278,67,99,722,633
144,Landry Shamet,LAC,240,167,75,722,640
146,Jonathan Isaac,ORL,262,86,110,720,919
147,Reggie Bullock Jr.,LAL,245,148,73,711,639
148,Bobby Portis,WAS,279,75,77,710,797
149,Tomas Satoransky,WAS,257,64,131,709,1060
150,Marcus Smart,BOS,239,126,104,708,958
150,Terry Rozier,BOS,258,119,73,708,839
152,Jeremy Lin,TOR,238,55,176,707,716
153,Tyreke Evans,IND,257,77,115,706,583
154,Robin Lopez,CHI,304,7,89,704,807
155,Fred VanVleet,TOR,246,112,97,701,798
156,Nicolas Batum,CHA,253,116,77,699,1012
157,Nikola Mirotic,MIL,238,116,105,697,785
158,Allonzo Trier,NYK,232,52,179,695,607
159,Dewayne Dedmon,ATL,259,83,92,693,1031
160,DeAndre' Bembry,ATL,275,50,87,687,861
161,Mikal Bridges,PHX,242,105,95,684,874
162,Jalen Brunson,DAL,264,63,87,678,696
163,Gerald Green,HOU,231,156,57,675,544
163,Victor Oladipo,IND,249,74,103,675,675
165,Langston Galloway,DET,228,135,81,672,575
166,Derrick White,SAS,260,48,95,663,879
166,John Wall,WAS,245,51,122,663,655
168,Delon Wright,MEM,242,50,119,653,861
168,Malik Monk,CHA,227,109,90,653,506
170,Mason Plumlee,DEN,262,2,111,637,1153
171,E'Twaun Moore,NOP,256,76,45,633,561
172,Trey Burke,DAL,236,56,103,631,547
173,Larry Nance Jr.,CLE,249,33,96,627,1168
174,Avery Bradley,MEM,248,86,43,625,553
175,Tyler Johnson,PHX,217,90,95,619,621
176,Austin Rivers,HOU,232,104,50,618,564
177,Luke Kennard,DET,228,106,51,613,587
178,JaMychal Green,LAC,230,71,80,611,795
179,Dorian Finney-Smith,DAL,228,79,73,608,793
180,Davis Bertans,SAS,204,145,53,606,739
181,P.J. Tucker,HOU,207,146,41,601,950
182,Kyle Korver,UTA,201,138,60,600,526
183,Miles Bridges,CHA,237,65,58,597,776
184,Patrick Beverley,LAC,194,112,96,596,999
185,Garrett Temple,LAC,208,90,80,586,632
186,Justin Jackson,DAL,217,87,62,583,623
187,Seth Curry,POR,212,113,44,581,493
188,Richaun Holmes,PHX,222,0,128,572,842
189,Noah Vonleh,NYK,207,46,111,571,959
190,Josh Okogie,MIN,196,60,118,570,581
191,Darius Miller,NOP,189,133,56,567,535
192,Doug McDermott,IND,207,84,66,564,496
193,Vince Carter,ATL,196,123,47,562,575
194,Alec Burks,SAC,192,61,116,561,612
195,Caris LeVert,BKN,207,48,85,547,527
195,Markieff Morris,OKC,204,68,71,547,594
197,Trey Lyles,DEN,207,51,81,546,541
198,Wayne Ellington,DET,184,138,39,545,461
199,Ryan Arcidiacono,CHI,187,81,89,544,794
200,Jake Layman,POR,216,59,50,541,597
201,Cory Joseph,IND,226,55,30,537,838
202,Rodions Kurucs,BKN,202,58,72,534,554
203,Tony Parker,CHA,213,13,91,530,490
204,Shabazz Napier,BKN,169,76,115,529,474
205,Dion Waiters,MIA,198,109,22,527,436
205,Rondae Hollis-Jefferson,BKN,200,9,118,527,584
207,Ivica Zubac,LAC,212,0,101,525,753
207,Josh Hart,LAL,189,92,55,525,612
209,Kris Dunn,CHI,215,34,55,519,663
210,Norman Powell,TOR,193,68,62,516,513
211,Wayne Selden,CHI,196,55,67,514,458
212,Terrance Ferguson,OKC,185,106,37,513,475
213,Zach Collins,POR,189,40,94,512,678
214,Mario Hezonja,NYK,191,42,87,511,515
215,Jeff Teague,MIN,176,35,123,510,653
216,Quinn Cook,GSW,204,81,20,509,514
217,Jamal Crawford,PHX,174,67,93,508,487
218,Rodney McGruder,LAC,186,79,52,503,542
219,Ish Smith,DET,205,44,47,501,528
220,Kevon Looney,GSW,217,1,65,500,918
221,Cody Zeller,CHA,190,6,111,497,764
222,Frank Jackson,NOP,194,53,54,495,405
223,Evan Turner,POR,204,11,75,494,772
223,Goran Dragic,MIA,179,57,79,494,467
223,Will Barton,DEN,185,67,57,494,500
226,Lance Stephenson,LAL,184,73,50,491,537
227,DeMarcus Cousins,GSW,178,26,106,488,623
228,Draymond Green,GSW,188,47,63,486,1155
229,Gorgui Dieng,MIN,189,19,88,485,694
229,Maxi Kleber,DAL,175,77,58,485,717
229,Mitchell Robinson,NYK,202,0,81,485,980
232,Jahlil Okafor,NOP,212,1,59,484,625
233,T.J. McConnell,PHI,220,14,29,483,713
234,Shaquille Harrison,CHI,184,24,82,474,611
235,Ed Davis,BKN,186,0,100,472,1053
236,Tristan Thompson,CLE,201,0,68,470,762
237,OG Anunoby,TOR,183,67,36,469,479
238,Tyus Jones,MIN,185,40,58,468,696
239,Iman Shumpert,HOU,167,95,36,465,505
239,Lonzo Ball,LAL,185,75,20,465,657
239,Robert Covington,MIN,156,85,68,465,551
242,Maurice Harkless,POR,189,33,49,460,655
243,Ante Zizic,CLE,183,0,93,459,619
243,Jonas Jerebko,GSW,163,69,64,459,637
243,Mike Scott,PHI,168,101,22,459,533
246,George Hill,MIL,170,48,70,458,529
247,Wendell Carter Jr.,CHI,180,6,89,455,645
248,Stanley Johnson,NOP,171,62,50,454,469
249,Ersan Ilyasova,MIL,167,58,61,453,584
250,Mike Muscala,LAL,145,89,70,449,550
251,Elfrid Payton,NOP,179,33,55,446,683
252,Tony Snell,MIL,163,81,37,444,487
253,Shelvin Mack,CHA,163,46,58,430,436
253,Torrey Craig,DEN,160,61,49,430,581
255,Devin Harris,DAL,132,62,102,428,410
255,James Johnson,MIA,164,50,50,428,492
257,Michael Kidd-Gilchrist,CHA,158,16,95,427,560
258,Royce O'Neale,UTA,163,68,32,426,653
259,Rajon Rondo,LAL,175,51,23,424,701
260,Jakob Poeltl,SAS,187,0,49,423,829
261,Boban Marjanovic,PHI,160,4,98,422,592
261,Derrick Jones Jr.,MIA,160,28,74,422,532
263,Pat Connaughton,MIL,163,66,29,421,628
263,Willy Hernangomez,CHA,153,15,100,421,584
265,Yogi Ferrell,SAC,153,54,60,420,460
266,Antonio Blakeney,CHI,166,36,50,418,296
267,J.J. Barea,DAL,161,38,55,415,425
268,Allen Crabbe,BKN,137,98,41,413,346
269,Harry Giles III,SAC,175,0,58,408,489
269,Juancho Hernangomez,DEN,138,66,66,408,546
271,Frank Kaminsky,CHA,138,50,79,405,426
272,Ian Clark,NOP,151,66,33,401,320
273,Nik Stauskas,CLE,136,70,57,399,375
274,Andre Iguodala,GSW,151,48,39,389,738
274,James Ennis III,PHI,138,55,58,389,463
276,Cheick Diallo,NOP,168,1,50,387,645
277,Kenneth Faried,HOU,156,8,64,384,517
278,Nerlens Noel,OKC,162,0,54,378,723
279,Daniel Theis,BOS,146,26,56,374,557
279,Kevin Love,CLE,109,53,103,374,445
281,Dirk Nowitzki,DAL,135,64,39,373,323
282,Sterling Brown,MIL,145,53,29,372,447
283,Danuel House Jr.,HOU,118,74,56,366,394
283,Jonathon Simmons,PHI,133,28,72,366,354
285,Meyers Leonard,POR,132,50,43,357,526
286,Kyle Anderson,MEM,150,9,37,346,605
287,CJ Miles,MEM,112,67,48,339,272
287,Wes Iwundu,ORL,113,29,84,339,422
289,Alfonzo McKinnie,GSW,134,42,27,337,456
290,David Nwaba,CLE,126,24,58,334,412
291,Anthony Tolliver,MIN,99,81,47,326,378
292,Thon Maker,DET,109,49,56,323,422
293,Luke Kornet,NYK,107,70,38,322,371
294,Bruce Brown,DET,125,24,45,319,421
295,Troy Daniels,PHX,113,74,18,318,254
296,Dwayne Bacon,CHA,122,38,34,316,304
297,Tim Frazier,MIL,116,37,41,310,527
298,Wilson Chandler,LAC,114,59,18,305,436
299,Elie Okobo,PHX,114,39,37,304,313
300,Joakim Noah,MEM,110,0,78,298,492
301,Tyler Dorsey,MEM,107,44,38,296,274
302,Aaron Holiday,IND,105,43,41,294,276
303,Mo Bamba,ORL,117,21,37,292,446
304,Dante Exum,UTA,101,18,68,288,275
305,Jared Dudley,BKN,101,53,32,287,382
305,Sam Dekker,WAS,120,19,28,287,348
307,Aron Baynes,BOS,105,21,53,284,460
307,Ivan Rabb,MEM,116,3,49,284,424
309,Bruno Caboclo,MEM,96,48,42,282,362
309,Matthew Dellavedova,CLE,98,44,42,282,334
311,D.J. Wilson,MIL,104,46,26,280,392
312,Furkan Korkmaz,PHI,98,47,36,279,289
312,Kenrich Williams,NOP,107,52,13,279,431
314,Omari Spellman,ATL,98,44,32,272,374
315,Chasson Randle,WAS,91,46,43,271,264
316,Zaza Pachulia,DET,85,0,97,267,479
317,Brandon Knight,CLE,99,41,27,266,221
318,Shaun Livingston,GSW,109,0,40,258,397
319,Cameron Payne,CLE,96,25,33,250,285
319,De'Anthony Melton,PHX,100,29,21,250,396
319,Jerian Grant,ORL,92,40,26,250,361
322,Troy Brown Jr.,WAS,97,22,32,248,317
323,Frank Ntilikina,NYK,95,33,23,246,248
324,Abdel Nader,OKC,91,32,27,241,250
325,Cristiano Felicio,CHI,95,0,50,240,373
325,Khem Birch,ORL,91,0,58,240,410
327,Bismack Biyombo,CHA,89,0,58,236,434
328,Georges Niang,UTA,86,43,20,235,251
329,Marcin Gortat,LAC,99,0,35,233,439
330,Timothe Luwawu-Cabarrot,CHI,82,36,31,231,214
331,Dragan Bender,PHX,88,22,32,230,341
331,Greg Monroe,PHI,92,1,45,230,292
333,Alex Caruso,LAL,77,24,51,229,255
333,Chandler Hutchison,CHI,96,14,23,229,324
333,Patrick Patterson,OKC,82,46,19,229,266
336,Omri Casspi,MEM,86,15,39,226,279
337,T.J. Leaf,IND,99,8,19,225,294
338,Jordan Bell,GSW,99,0,25,223,403
339,Tyrone Wallace,LAC,92,4,30,218,201
340,Devonte' Graham,CHA,74,34,35,217,243
341,Grayson Allen,UTA,67,32,45,211,112
342,Jerryd Bayless,MIN,82,29,16,209,218
343,Jonah Bolden,PHI,80,34,13,207,336
343,Moritz Wagner,LAL,71,22,43,207,191
345,Lance Thomas,NYK,78,22,27,205,221
346,Amir Johnson,PHI,79,12,31,201,304
347,Glenn Robinson III,DET,74,18,32,198,184
348,Raul Neto,UTA,74,20,28,196,242
349,Frank Mason III,SAC,71,14,39,195,190
350,Dante Cunningham,SAS,75,30,14,194,363
351,Solomon Hill,NOP,68,32,23,191,262
352,Hamidou Diallo,OKC,75,4,36,190,199
352,MarShon Brooks,MEM,76,15,23,190,149
352,Thabo Sefolosha,UTA,71,34,14,190,277
355,Kadeem Allen,NYK,65,17,42,189,222
356,Chandler Parsons,MEM,68,29,22,187,175
357,Semi Ojeleye,BOS,67,28,24,186,184
358,Treveon Graham,BKN,64,38,18,184,197
359,Marquese Chriss,CLE,67,16,32,182,212
360,Isaiah Canaan,MIL,64,34,19,181,199
360,Michael Beasley,LAL,75,3,28,181,169
362,Justin Anderson,ATL,64,24,26,178,195
363,Tyson Chandler,LAL,61,0,51,173,445
364,Christian Wood,NOP,61,9,41,172,192
364,Jevon Carter,MEM,56,34,26,172,176
366,Ryan Broekhoff,DAL,57,38,15,167,173
367,Alex Abrines,OKC,56,41,12,165,140
368,Jordan McRae,WAS,61,10,28,160,159
369,Damion Lee,GSW,56,27,19,158,163
370,Johnathan Williams,LAL,65,0,27,157,202
370,Luol Deng,MIN,59,14,25,157,188
372,Jon Leuer,DET,66,1,23,156,205
372,Kosta Koufos,SAC,73,0,10,156,281
372,Kyle O'Quinn,IND,69,1,17,156,263
375,Markelle Fultz,ORL,65,4,21,155,175
376,Corey Brewer,SAC,53,14,31,151,204
376,Keita Bates-Diop,MIN,60,13,18,151,177
376,Nene,HOU,60,0,31,151,250
379,Gary Clark,HOU,50,41,7,148,220
380,Raymond Felton,OKC,55,20,12,142,149
381,Salah Mejri,DAL,55,11,20,141,253
382,Brad Wanamaker,BOS,50,16,24,140,173
383,Ian Mahinmi,WAS,47,3,42,139,236
384,Courtney Lee,DAL,53,16,14,136,154
384,Isaiah Briscoe,ORL,55,11,15,136,185
386,Dillon Brooks,MEM,49,15,22,135,96
387,Carmelo Anthony,HOU,49,21,15,134,117
387,Michael Carter-Williams,ORL,46,10,32,134,191
389,Svi Mykhailiuk,DET,46,29,12,133,98
390,Donte DiVincenzo,MIL,50,22,9,131,150
391,Damian Jones,GSW,53,0,24,130,220
392,Channing Frye,CLE,43,32,11,129,122
393,Wesley Johnson,WAS,45,25,13,128,142
394,John Jenkins,NYK,42,22,15,121,107
395,Ekpe Udoh,UTA,50,0,19,119,232
396,Pau Gasol,MIL,42,6,28,118,247
397,Dwight Howard,WAS,43,0,29,115,152
397,Jarell Martin,ORL,43,20,9,115,143
399,Henry Ellenson,NYK,39,17,19,114,134
399,Jaron Blossomgame,CLE,47,10,10,114,167
401,Jose Calderon,DET,45,14,9,113,195
402,Jerome Robinson,LAC,44,18,6,112,104
403,Troy Williams,SAC,44,14,9,111,130
404,Jaylen Adams,ATL,38,25,7,108,150
405,Alex Poythress,ATL,40,9,18,107,149
406,Johnathan Motley,LAC,39,0,24,102,106
407,Quincy Pondexter,SAS,29,6,34,98,130
408,Isaiah Thomas,DEN,34,12,17,97,46
409,Cam Reynolds,MIN,33,21,8,95,96
410,Guerschon Yabusele,BOS,35,9,15,94,113
411,Chris Boucher,TOR,34,12,13,93,130
412,Shake Milton,PHI,34,14,5,87,95
413,Walt Lemon Jr.,CHI,38,2,8,86,93
414,Deonte Burton,OKC,33,8,8,82,71
415,Jalen Jones,CLE,26,10,19,81,81
415,Robert Williams III,BOS,36,0,9,81,187
415,Theo Pinson,BKN,25,12,19,81,75
418,JaKarr Sampson,CHI,29,5,17,80,90
418,Miles Plumlee,ATL,32,0,16,80,106
420,John Henson,CLE,31,11,6,79,130
421,Anfernee Simons,POR,28,10,9,75,49
421,Ben McLemore,SAC,25,17,8,75,57
423,JR Smith,CLE,27,12,8,74,62
423,Patrick McCaw,TOR,26,9,13,74,120
425,Brandon Sampson,CHI,28,11,4,71,62
426,Skal Labissiere,POR,26,6,9,67,90
427,Edmond Sumner,IND,22,7,15,66,56
428,Jason Smith,NOP,21,9,14,65,88
429,Ryan Anderson,MIA,21,9,12,63,75
430,Sindarius Thornwell,LAC,17,3,25,62,84
431,Khyri Thomas,DET,22,10,7,61,46
432,Daniel Hamilton,ATL,23,8,3,57,77
433,Lorenzo Brown,TOR,23,6,3,55,67
434,Andrew Harrison,NOP,16,5,17,54,54
434,Ray Spalding,PHX,25,0,4,54,85
436,Isaiah Hartenstein,HOU,20,2,11,53,97
437,Chimezie Metu,SAS,19,0,13,51,50
437,Jodie Meeks,TOR,21,8,1,51,53
439,Duncan Robinson,MIA,18,10,4,50,45
440,Milos Teodosic,LAC,17,10,4,48,53
441,Devin Robinson,WAS,19,0,9,47,63
442,Marcus Derrickson,GSW,16,10,4,46,40
442,Tyler Zeller,MEM,16,0,14,46,56
444,Lonnie Walker IV,SAS,16,5,8,45,45
445,Caleb Swanigan,SAC,18,1,6,43,69
446,Drew Eubanks,SAS,15,0,11,41,68
447,Gary Trent Jr.,POR,16,5,3,40,17
447,Jacob Evans,GSW,18,4,0,40,49
447,Julian Washburn,MEM,16,5,3,40,70
447,Zhaire Smith,PHI,14,6,6,40,39
451,Andrew Bogut,GSW,18,0,3,39,90
451,Bonzie Colson,MIL,13,5,8,39,48
451,C.J. Williams,MIN,17,5,0,39,41
451,Yuta Watanabe,MEM,15,2,7,39,38
455,Rawle Alkins,CHI,13,3,8,37,39
456,Deyonta Davis,ATL,15,0,6,36,71
456,James Nunnally,HOU,12,8,4,36,26
458,Malcolm Miller,TOR,11,10,3,35,26
459,Dairis Bertans,NOP,12,10,0,34,17
460,Deng Adel,CLE,11,6,4,32,30
461,Jared Terrell,MIN,12,4,3,31,14
462,Malachi Richardson,TOR,9,8,4,30,15
462,Wade Baldwin IV,POR,10,2,8,30,20
464,Daryl Macon,DAL,10,5,4,29,23
464,Jordan Loyd,TOR,8,4,9,29,30
466,Amile Jefferson,ORL,10,0,7,27,49
466,Jemerrio Jones,LAL,12,2,1,27,74
468,Billy Garrett,NYK,11,0,4,26,20
469,Udonis Haslem,MIA,11,0,3,25,28
470,Jarred Vanderbilt,DEN,9,0,6,24,35
471,BJ Johnson,SAC,9,3,2,23,22
471,Brandon Goodwin,DEN,6,2,9,23,18
471,Tyler Lydon,DEN,9,4,1,23,34
474,Demetrius Jackson,PHI,8,2,4,22,24
474,Jimmer Fredette,PHX,8,0,6,22,14
476,Mitchell Creek,MIN,8,0,5,21,30
477,Luc Mbah a Moute,LAC,8,2,2,20,16
478,Dzanan Musa,BKN,9,1,0,19,9
478,Isaac Bonga,LAL,5,0,9,19,32
478,PJ Dozier,BOS,8,2,1,19,29
481,Alan Williams,BKN,8,0,2,18,33
481,Thomas Welsh,DEN,7,3,1,18,19
483,Quincy Acy,PHX,4,2,7,17,34
483,RJ Hunter,BOS,6,4,1,17,16
483,Tony Bradley,UTA,8,0,1,17,25
486,Naz Mitrou-Long,UTA,6,2,2,16,17
487,Isaac Humphries,ATL,6,3,0,15,12
487,Melvin Frazier Jr.,ORL,7,0,1,15,4
489,Ron Baker,WAS,4,1,5,14,25
490,Alize Johnson,IND,4,1,4,13,21
491,Davon Reed,IND,5,2,0,12,14
491,Isaiah Hicks,NYK,4,0,4,12,19
493,Gary Payton II,WAS,5,1,0,11,17
494,Emanuel Terry,MIA,4,0,2,10,15
494,Jaylen Morris,MIL,4,1,1,10,13
494,Scott Machado,LAL,4,1,1,10,12
494,Troy Caupain,ORL,4,2,0,10,14
498,Haywood Highsmith,PHI,4,1,0,9,8
498,Nick Young,DEN,3,3,0,9,5
498,Tyler Cavanaugh,UTA,3,1,2,9,10
501,Dusty Hannahs,MEM,3,0,2,8,5
502,DeVaughn Akoon-Purcell,DEN,3,0,1,7,9
502,Eric Moreland,TOR,3,1,0,7,24
504,Chris Chiozza,HOU,2,2,0,6,9
504,Donatas Motiejunas,SAS,3,0,0,6,3
504,J.P. Macura,CHA,3,0,0,6,5
504,Jawun Evans,OKC,3,0,0,6,14
508,Justin Patton,PHI,2,0,1,5,10
508,Trevon Duval,HOU,2,1,0,5,7
510,Tahjere McCall,BKN,2,0,0,4,3
511,Angel Delgado,LAC,1,0,1,3,3
511,Jordan Sibert,ATL,1,1,0,3,3
511,Vincent Edwards,HOU,1,1,0,3,2
514,DJ Stephens,MEM,1,0,0,2,1
514,Joe Chealey,CHA,1,0,0,2,1
514,Kalin Lucas,DET,0,0,2,2,5
514,Kostas Antetokounmpo,DAL,0,0,2,2,-1
514,Terrence Jones,HOU,1,0,0,2,1
514,Yante Maten,MIA,1,0,0,2,3
514,Zhou Qi,HOU,1,0,0,2,2
521,Andre Ingram,LAL,0,0,0,0,-4
521,Donte Grantham,OKC,0,0,0,0,-2
521,George King,PHX,0,0,0,0,1
521,Ike Anigbogu,IND,0,0,0,0,1
521,John Holland,CLE,0,0,0,0,0
521,Kobi Simmons,CLE,0,0,0,0,0
521,Okaro White,WAS,0,0,0,0,0
521,Tyler Davis,OKC,0,0,0,0,0
521,Tyler Ulis,CHI,0,0,0,0,0
521,Zach Lofton,DET,0,0,0,0,-1
