RANK,PLAYER,TEAM,FGM,FG3M,FTM,PTS,EFF
47,Mike Conley,MEM,393,107,214,1107,1114
48,Isaiah Thomas,BOS,335,129,302,1101,950
49,Greg Monroe,DET,423,0,252,1098,1393
50,Wilson Chandler,DEN,418,139,110,1085,1082
51,Al Jefferson,CHA,486,2,108,1082,1225
52,Kemba Walker,CHA,378,85,234,1075,981
53,Avery Bradley,BOS,434,124,79,1071,835
53,Thaddeus Young,BKN,451,38,131,1071,1101
55,Brandon Knight,PHX,375,125,195,1070,1014
55,Tim Duncan,SAS,419,2,230,1070,1606
57,Kawhi Leonard,SAS,394,67,202,1057,1300
58,Khris Middleton,MIL,406,109,134,1055,1119
59,Trevor Ariza,HOU,366,194,122,1048,1179
60,Kentavious Caldwell-Pope,DET,390,153,110,1043,794
61,Chandler Parsons,DAL,383,132,139,1037,1013
62,Arron Afflalo,POR,375,118,167,1035,803
63,Giannis Antetokounmpo,MIL,383,7,257,1030,1277
64,Josh Smith,HOU,414,72,127,1027,1130
65,Jamal Crawford,LAC,332,119,227,1010,741
66,Luol Deng,MIA,369,78,191,1007,1023
67,Marcin Gortat,WAS,439,0,123,1001,1486
68,Ben McLemore,SAC,363,140,130,996,837
69,Tony Parker,SAS,404,38,130,976,876
70,Trey Burke,UTA,370,124,109,973,790
71,Gerald Henderson,CHA,370,45,184,969,901
72,Carmelo Anthony,NYK,358,61,189,966,824
72,Michael Carter-Williams,MIL,364,36,202,966,1005
74,Mo Williams,CHA,341,119,163,964,907
75,Jonas Valanciunas,TOR,373,0,217,963,1376
76,Bradley Beal,WAS,363,106,130,962,844
77,Jarrett Jack,BKN,359,39,200,957,987
78,Wesley Matthews,POR,337,173,109,956,872
79,Aaron Brooks,CHI,344,121,145,954,791
80,Danny Green,SAS,322,191,111,946,1110
80,DeAndre Jordan,LAC,379,1,187,946,1949
80,Kenneth Faried,DEN,373,1,199,946,1252
83,Robert Covington,PHI,299,167,178,943,868
84,CJ Miles,IND,329,154,130,942,715
85,Dion Waiters,OKC,375,73,117,940,667
86,Chris Bosh,MIA,343,63,179,928,849
87,Draymond Green,GSW,339,111,132,921,1454
88,Corey Brewer,HOU,343,63,168,917,869
88,Serge Ibaka,OKC,374,77,92,917,1129
90,Kyle Korver,ATL,292,221,106,911,1078
91,Derrick Rose,CHI,338,76,152,904,675
92,Rodney Stuckey,IND,332,55,177,896,850
93,Deron Williams,BKN,298,87,201,884,983
93,Gerald Green,PHX,324,137,99,884,636
95,DeMarre Carroll,ATL,318,120,127,883,1020
96,Paul Pierce,WAS,293,118,164,868,875
97,Brandon Bass,BOS,344,9,169,866,974
98,Donatas Motiejunas,HOU,353,49,100,855,960
99,JR Smith,CLE,315,163,54,847,809
100,Marcus Morris Sr.,PHX,331,112,71,845,895
101,Jordan Hill,LAL,357,3,124,841,1016
102,Carlos Boozer,LAL,371,0,94,836,946
103,Nikola Mirotic,CHI,253,99,228,833,926
103,Ryan Anderson,NOP,291,122,129,833,714
103,Tyler Zeller,BOS,340,0,153,833,1093
106,Jeremy Lin,LAL,277,65,213,832,883
107,Harrison Barnes,GSW,316,87,108,827,1023
108,Eric Gordon,NOP,285,141,107,818,713
109,Mario Chalmers,MIA,267,73,206,813,829
110,Terrence Ross,TOR,309,145,44,807,672
111,O.J. Mayo,MIL,296,99,115,806,708
112,Tim Hardaway Jr.,NYK,279,121,125,804,570
113,Roy Hibbert,IND,317,0,168,802,1033
114,Marreese Speights,GSW,318,5,150,791,804
115,Anthony Morrow,OKC,285,141,79,790,732
116,Timofey Mozgov,CLE,314,2,155,785,1132
117,Kobe Bryant,LAL,266,54,196,782,612
118,Evan Turner,BOS,320,33,106,779,1088
118,Kevin Martin,MIN,267,75,170,779,587
120,Zach LaVine,MIN,286,57,149,778,720
121,Courtney Lee,MEM,288,90,111,777,742
121,D.J. Augustin,OKC,258,83,178,777,782
123,Greivis Vasquez,TOR,296,133,50,775,785
124,Tyson Chandler,DAL,293,0,185,771,1528
125,Jared Sullinger,BOS,311,52,96,770,923
126,David West,IND,323,4,119,769,1012
127,Dennis Schroder,ATL,284,52,148,768,740
128,Matt Barnes,LAC,277,136,74,764,842
129,Luis Scola,IND,300,5,158,763,955
130,Wesley Johnson,LAL,286,91,90,753,786
131,Nerlens Noel,PHI,302,0,140,744,1171
132,Manu Ginobili,SAS,251,89,147,738,780
133,Nene,WAS,307,1,122,737,795
134,Danilo Gallinari,DEN,228,107,171,734,685
135,Elfrid Payton,ORL,301,11,118,731,1069
136,Solomon Hill,IND,251,68,159,729,779
137,Darren Collison,SAC,260,60,145,725,760
138,Mason Plumlee,BKN,280,0,157,717,956
139,P.J. Tucker,PHX,261,87,104,713,997
140,Gorgui Dieng,MIN,259,1,191,710,1230
141,Boris Diaw,SAS,291,54,72,708,860
142,Jordan Clarkson,LAL,267,38,131,703,711
143,Bojan Bogdanovic,BKN,261,91,87,700,612
144,Evan Fournier,ORL,253,85,107,698,569
145,Amir Johnson,TOR,298,19,79,694,989
146,Tristan Thompson,CLE,267,0,159,693,1091
147,George Hill,IND,255,69,113,692,770
148,Kevin Durant,OKC,238,64,146,686,695
148,Rudy Gobert,UTA,258,0,170,686,1440
150,Amar'e Stoudemire,DAL,273,0,134,680,774
151,Ersan Ilyasova,MIL,263,74,69,669,680
152,Devin Harris,DAL,219,95,132,665,709
153,Nicolas Batum,POR,240,100,84,664,1033
154,Jodie Meeks,DET,222,74,145,663,527
155,Luc Mbah a Moute,PHI,251,62,96,660,645
156,Ed Davis,LAL,282,0,92,656,1155
156,Jason Smith,NYK,257,15,127,656,731
156,Kelly Olynyk,BOS,251,61,93,656,753
159,Wayne Ellington,LAL,254,90,52,650,575
160,Patrick Patterson,TOR,240,105,63,648,974
161,Dwight Howard,HOU,251,1,143,646,793
162,Taj Gibson,CHI,254,0,132,640,837
163,Chris Kaman,POR,283,0,72,638,855
164,Brandon Jennings,DET,218,76,120,632,618
165,Jae Crowder,BOS,229,61,109,628,715
166,Hollis Thompson,PHI,224,115,63,626,581
167,Derrick Williams,SAC,217,49,134,617,521
168,Rajon Rondo,DAL,275,27,31,608,990
169,Zaza Pachulia,MIL,240,0,126,606,929
170,Beno Udrih,MEM,246,26,87,605,659
171,Andre Iguodala,GSW,231,74,68,604,804
172,Jerryd Bayless,MIL,220,37,121,598,668
172,Michael Kidd-Gilchrist,CHA,224,0,150,598,774
174,Mike Dunleavy,CHI,209,107,70,595,668
175,Omri Casspi,SAC,209,35,140,593,638
176,Jrue Holiday,NOP,238,51,65,592,689
177,Henry Sims,PHI,238,4,106,586,699
178,J.J. Barea,DAL,225,54,76,580,612
178,Rasual Butler,WAS,218,91,53,580,530
180,Marvin Williams,CHA,210,95,62,577,798
181,Norris Cole,NOP,230,55,58,573,609
182,C.J. Watson,IND,181,70,138,570,642
183,Marco Belinelli,SAS,199,86,84,568,506
183,Patrick Beverley,HOU,204,115,45,568,653
185,Trevor Booker,UTA,226,29,86,567,743
186,Robin Lopez,POR,234,0,98,566,810
187,Hassan Whiteside,MIA,243,0,78,564,922
188,Nick Young,LAL,174,83,132,563,372
189,Omer Asik,NOP,213,0,131,557,1072
190,James Johnson,TOR,238,11,67,554,750
191,JJ Hickson,DEN,218,0,116,552,710
192,Channing Frye,ORL,191,136,31,549,644
193,Alan Anderson,BKN,195,73,82,545,569
194,Brandan Wright,PHX,233,0,78,544,852
195,Gary Neal,MIN,188,50,117,543,398
196,Jason Terry,HOU,188,126,39,541,553
197,Tony Allen,MEM,225,10,79,539,701
198,Quincy Pondexter,NOP,188,91,71,538,535
199,Steven Adams,OKC,217,0,103,537,867
200,Cory Joseph,SAS,207,16,105,535,669
201,Langston Galloway,NYK,204,62,63,533,554
202,Austin Rivers,LAC,203,39,85,530,500
203,Mike Scott,ATL,201,66,61,529,524
204,Jameer Nelson,DEN,205,89,24,523,555
204,Marcus Smart,BOS,175,91,82,523,633
206,Kevin Seraphin,WAS,231,0,58,520,595
207,Jared Dudley,MIL,198,74,48,518,645
208,Shabazz Muhammad,MIN,194,20,104,512,456
209,Kris Humphries,WAS,211,0,87,509,730
210,Tony Wroten,PHI,175,37,120,507,374
211,Carl Landry,SAC,190,0,123,503,569
211,Ray McCallum,SAC,206,34,57,503,551
213,Lance Stephenson,CHA,207,18,69,501,552
214,Iman Shumpert,CLE,193,67,43,496,562
215,Jason Thompson,SAC,201,0,89,491,831
216,KJ McDaniels,HOU,172,43,100,487,473
217,Joakim Noah,CHI,190,0,105,485,1136
218,Anthony Tolliver,DET,161,106,54,482,519
219,Brian Roberts,CHA,176,62,66,480,449
219,Kyle Singler,OKC,172,96,40,480,486
221,Cody Zeller,CHA,172,1,127,472,717
222,John Henson,MIL,196,0,78,470,708
222,Shane Larkin,NYK,187,35,61,470,629
224,Leandro Barbosa,GSW,183,43,58,467,443
225,Aron Baynes,SAS,185,1,90,461,631
225,Shaun Livingston,GSW,198,0,65,461,646
227,Caron Butler,DET,161,83,55,460,492
228,Chase Budinger,MIN,169,52,67,457,489
229,Jonas Jerebko,BOS,169,54,56,448,601
230,Otto Porter Jr.,WAS,176,35,58,445,517
231,Alexis Ajinca,NOP,181,0,81,443,642
231,Lance Thomas,NYK,182,7,72,443,391
233,Randy Foye,DEN,148,94,45,435,360
233,Tony Snell,CHI,159,73,44,435,445
235,Alexey Shved,NYK,133,47,121,434,396
235,Tayshaun Prince,DET,177,31,49,434,506
237,Rodney Hood,UTA,155,62,61,433,392
238,Alex Len,PHX,179,1,73,432,778
238,Isaiah Canaan,PHI,146,91,49,432,344
238,Richard Jefferson,DAL,144,66,78,432,451
241,Andrea Bargnani,NYK,164,15,87,430,373
242,Tiago Splitter,SAS,169,0,90,428,606
243,Jusuf Nurkic,DEN,171,0,84,426,632
244,Spencer Hawes,LAC,163,55,44,425,511
245,CJ McCollum,POR,159,55,51,424,354
246,Andrew Bogut,GSW,200,0,22,422,1016
247,Kosta Koufos,MEM,182,0,55,419,699
248,Al-Farouq Aminu,DAL,147,34,84,412,646
249,Jerami Grant,PHI,124,49,114,411,404
250,Charlie Villanueva,DAL,150,83,20,403,353
251,Ramon Sessions,WAS,125,19,133,402,422
252,Quincy Acy,NYK,152,18,76,398,556
253,Will Barton,DEN,150,23,74,397,423
254,Joe Ingles,UTA,147,72,30,396,520
255,Dante Exum,UTA,145,83,20,393,376
256,Donald Sloan,IND,145,41,60,391,455
257,Kent Bazemore,ATL,141,48,60,390,472
258,David Lee,GSW,160,0,68,388,549
259,JaKarr Sampson,PHI,146,31,63,386,383
259,Nikola Pekovic,MIN,139,0,108,386,426
259,Terrence Jones,HOU,158,13,57,386,504
262,Vince Carter,MEM,135,69,45,384,327
263,Darrell Arthur,DEN,155,26,46,382,395
263,Jose Calderon,NYK,147,59,29,382,450
265,Marcus Thornton,PHX,140,54,46,380,294
266,Tarik Black,LAL,157,0,65,379,615
267,Kirk Hinrich,CHI,142,58,35,377,379
268,Alec Burks,UTA,121,26,106,374,338
269,Pero Antic,ATL,108,52,88,356,354
270,Andre Miller,SAC,145,7,58,355,562
271,Patty Mills,SAS,128,62,33,351,293
272,Steve Blake,POR,122,77,29,350,500
273,Ben Gordon,ORL,129,35,56,349,245
274,Shawne Williams,DET,121,64,35,341,383
275,Dante Cunningham,NOP,155,1,29,340,492
276,Mirza Teletovic,BKN,122,62,33,339,346
277,Cole Aldrich,NYK,144,0,50,338,623
277,Ish Smith,PHI,143,18,34,338,335
279,Ryan Kelly,LAL,104,45,79,332,366
280,Meyers Leonard,POR,125,47,30,327,472
281,Damjan Rudez,IND,119,69,16,323,246
281,Kevin Garnett,MIN,143,1,36,323,556
283,Chris Andersen,MIA,120,4,76,320,584
284,Matthew Dellavedova,CLE,111,68,29,319,409
284,Nik Stauskas,SAC,108,48,55,319,274
286,Lavoy Allen,IND,141,0,33,315,556
287,James Ennis III,MIA,101,31,79,312,378
288,Chris Copeland,IND,112,52,33,309,224
289,Jabari Parker,MIL,129,4,46,308,323
289,Thomas Robinson,PHI,126,0,56,308,453
291,Robert Sacre,LAL,126,0,55,307,423
292,Willie Green,ORL,118,42,28,306,242
293,Bismack Biyombo,CHA,101,0,102,304,634
294,Shelvin Mack,ATL,117,40,25,299,335
295,Anthony Bennett,MIN,125,7,41,298,374
296,Jeremy Lamb,OKC,104,38,49,295,294
297,Glen Davis,LAC,117,0,60,294,352
297,Kyle O'Quinn,ORL,119,12,44,294,431
297,Miles Plumlee,MIL,136,0,22,294,562
300,Jon Leuer,MEM,121,7,37,286,356
301,Thabo Sefolosha,ATL,104,25,45,278,454
302,Drew Gooden,WAS,110,23,34,277,375
303,Shawn Marion,CLE,119,12,26,276,394
304,Pablo Prigioni,HOU,91,57,35,274,439
305,Nick Collison,OKC,106,16,45,273,461
306,Tyler Hansbrough,TOR,86,1,97,270,460
307,Ian Mahinmi,IND,117,0,31,265,505
308,Matt Bonner,SAS,94,46,30,264,294
309,Shabazz Napier,MIA,87,43,44,261,314
309,Udonis Haslem,MIA,107,2,45,261,407
311,Lou Amundson,NYK,109,0,41,259,417
312,Luke Babbitt,NOP,92,59,13,256,287
313,Anderson Varejao,CLE,111,0,33,255,359
314,Justin Holiday,GSW,91,35,37,254,246
314,PJ Hairston,CHA,87,49,31,254,192
316,James Jones,CLE,74,63,39,250,210
317,Elijah Millsap,UTA,81,28,58,248,276
318,Kendrick Perkins,CLE,102,0,42,246,414
319,T.J. Warren,PHX,113,5,14,245,249
320,Aaron Gordon,ORL,93,13,44,243,318
320,Nick Calathes,MEM,104,11,24,243,338
322,Alonzo Gee,POR,87,13,54,241,247
323,Nate Robinson,DEN,88,31,31,238,196
324,Hedo Turkoglu,LAC,83,60,6,232,255
325,Archie Goodwin,PHX,79,12,61,231,184
326,Andre Roberson,OKC,92,21,23,228,455
327,Jabari Brown,LAL,70,23,64,227,164
328,Ricky Rubio,MIN,78,13,57,226,364
329,Ronnie Price,LAL,77,31,36,221,319
330,Dorell Wright,POR,72,41,34,219,258
330,Justin Hamilton,MIN,85,10,39,219,319
332,Dewayne Dedmon,ORL,91,0,34,216,434
332,Markel Brown,BKN,76,17,47,216,234
334,Adreian Payne,MIN,91,1,30,213,244
335,Michael Beasley,MIA,92,8,20,212,198
336,Cleanthony Early,NYK,76,22,36,210,189
337,Garrett Temple,WAS,68,33,35,204,252
338,Jason Maxiell,CHA,81,0,41,203,317
339,Festus Ezeli,GSW,76,0,49,201,290
339,Mitch McGary,OKC,88,0,25,201,289
341,Travis Wear,NYK,84,11,20,199,205
342,Robbie Hummel,MIN,79,16,24,198,268
343,Mike Muscala,ATL,83,9,22,197,284
344,Larry Sanders,MIL,86,0,24,196,312
345,Andrew Nicholson,ORL,83,13,15,194,175
346,Tyler Johnson,MIA,70,18,32,190,213
347,Danny Granger,PHX,65,30,28,188,174
347,Gary Harris,DEN,66,21,35,188,126
347,Luke Ridnour,ORL,75,20,18,188,234
350,Joey Dorsey,HOU,80,0,24,184,388
350,Perry Jones III,OKC,73,14,24,184,155
352,Cory Jefferson,BKN,75,2,31,183,240
353,Kostas Papanikolaou,HOU,69,31,13,182,239
354,Jimmer Fredette,NOP,63,9,43,178,155
355,Phil Pressey,BOS,64,16,33,177,243
356,Reggie Evans,SAC,58,0,60,176,373
356,Troy Daniels,CHA,61,43,11,176,112
358,Henry Walker,MIA,58,45,14,175,181
359,Jason Richardson,PHI,62,31,17,172,155
360,Joel Freeland,POR,74,0,21,169,304
361,Allen Crabbe,POR,63,30,12,168,205
362,Jordan Farmar,LAC,61,35,10,167,171
363,Chris Johnson,UTA,62,28,14,166,160
364,Maurice Harkless,ORL,63,10,22,158,189
365,Sergey Karasev,BKN,54,16,29,153,176
366,E'Twaun Moore,CHI,62,13,12,149,155
367,Erick Green,DEN,61,14,10,146,111
368,Spencer Dinwiddie,DET,51,12,31,145,168
369,Brandon Davies,PHI,55,8,24,142,156
370,Jerome Jordan,BKN,50,0,38,138,207
371,Jeff Ayres,SAS,55,0,27,137,209
371,Ryan Hollins,SAC,53,0,31,137,202
373,Joe Harris,CLE,48,31,9,136,107
374,John Jenkins,ATL,49,21,16,135,136
375,Sebastian Telfair,OKC,46,18,24,134,112
376,AJ Price,CLE,51,15,16,133,110
377,Austin Daye,ATL,50,24,5,129,123
378,Samuel Dalembert,NYK,57,0,14,128,262
379,Jeffery Taylor,CHA,45,11,26,127,112
380,Lorenzo Brown,MIN,52,6,12,122,209
381,Tyler Ennis,MIL,52,12,5,121,116
382,Kendall Marshall,MIL,46,18,8,118,162
383,Doug McDermott,CHI,43,13,10,109,77
383,Mike Miller,CLE,37,32,3,109,163
385,Raymond Felton,DAL,43,10,12,108,106
386,JaVale McGee,DEN,42,0,22,106,126
386,Martell Webster,WAS,24,10,48,106,72
388,Gigi Datome,BOS,43,18,1,105,97
388,James Young,BOS,36,17,16,105,86
390,Johnny O'Bryant III,MIL,44,0,12,100,74
391,Jeff Withey,NOP,32,0,34,98,135
391,John Lucas III,DET,42,9,5,98,104
393,Elton Brand,ATL,42,0,12,96,178
394,Jordan Adams,MEM,35,10,14,94,87
395,Furkan Aldemir,PHI,40,0,13,93,261
395,Joffrey Lauvergne,DEN,36,3,18,93,116
397,Dwight Powell,DAL,31,3,25,90,109
397,Jeremy Evans,UTA,32,2,24,90,161
397,Ricky Ledo,NYK,32,10,16,90,56
400,Joel Anthony,DET,36,0,15,87,201
401,Darius Morris,BKN,36,7,4,83,71
401,Noah Vonleh,CHA,30,5,18,83,121
403,Bryce Cotton,UTA,29,7,15,80,62
403,Greg Smith,DAL,30,0,20,80,137
405,Kyle Anderson,SAS,31,3,9,74,123
405,Nick Johnson,HOU,26,5,17,74,58
407,Glenn Robinson III,PHI,26,5,16,73,70
408,Josh McRoberts,MIA,28,8,8,72,113
409,Reggie Bullock Jr.,PHX,24,15,6,69,84
410,Steve Novak,OKC,22,19,0,63,57
411,JaMychal Green,MEM,27,0,8,62,85
411,James Michael McAdoo,GSW,24,0,14,62,78
413,Jeff Adrien,HOU,19,0,22,60,115
414,Ian Clark,DEN,19,10,9,57,52
414,Jarnell Stokes,MEM,21,0,15,57,69
414,Shayne Whittington,IND,19,1,18,57,66
414,Tim Frazier,POR,21,5,10,57,77
418,DeJuan Blair,WAS,26,0,4,56,77
419,Jorge Gutierrez,MIL,22,0,9,53,71
419,Paul George,IND,18,9,8,53,41
421,Dwight Buycks,LAL,18,7,9,52,46
422,Toney Douglas,NOP,19,5,8,51,65
423,Chuck Hayes,TOR,22,0,6,50,98
424,Landry Fields,TOR,20,1,5,46,68
424,Larry Drew II,PHI,20,4,2,46,48
426,Francisco Garcia,HOU,17,10,1,45,32
426,Malcolm Thomas,PHI,18,0,9,45,73
428,Bernard James,DAL,12,0,20,44,80
429,John Salmons,NOP,16,8,2,42,50
429,Nate Wolters,MIL,20,0,2,42,53
431,C.J. Wilcox,LAC,16,7,2,41,28
431,Jannero Pargo,CHA,15,9,2,41,29
433,Jordan Hamilton,LAC,14,10,0,38,38
434,Devyn Marble,ORL,14,4,5,37,46
434,Elliot Williams,PHI,14,8,1,37,31
434,Reggie Williams,SAS,15,3,4,37,39
437,Cartier Martin,DET,15,6,0,36,28
438,Brendan Haywood,CLE,14,0,7,35,46
438,Gerald Wallace,BOS,14,1,6,35,75
438,Jared Cunningham,LAC,12,4,7,35,23
441,Clint Capela,HOU,14,0,4,32,41
441,Earl Barron,PHX,12,2,6,32,33
443,Brandon Rush,GSW,11,3,5,30,40
443,Russ Smith,MEM,8,2,12,30,17
445,Ekpe Udoh,LAC,11,0,7,29,56
445,Quincy Miller,DET,9,3,8,29,32
447,Zoran Dragic,MIA,11,3,3,28,17
448,Arinze Onuaku,MIN,12,0,3,27,47
448,Earl Clark,BKN,11,4,1,27,32
448,Jack Cooley,UTA,9,0,9,27,34
448,Nazr Mohammed,CHI,13,0,1,27,51
452,Shavlik Randolph,PHX,9,0,6,24,39
452,Victor Claver,POR,9,6,0,24,32
454,Sean Kilpatrick,MIN,7,4,4,22,20
454,Vander Blue,LAL,9,2,2,22,12
454,Will Bynum,WAS,10,0,2,22,17
457,Dahntay Jones,LAC,6,0,9,21,19
458,Kenyon Martin,MIL,9,0,2,20,39
458,Ognjen Kuzmic,GSW,8,0,4,20,37
458,Shannon Brown,MIA,7,3,3,20,11
458,Xavier Henry,LAL,3,0,14,20,7
462,Chris Douglas-Roberts,LAC,5,1,8,19,20
463,Lester Hudson,LAC,6,3,3,18,26
464,Drew Gordon,PHI,8,0,1,17,18
465,Grant Jerrett,UTA,7,1,1,16,10
466,Will Cherry,TOR,5,2,3,15,14
467,Greg Stiemsma,TOR,6,0,2,14,23
468,Glen Rice,WAS,3,1,4,11,1
469,Bruno Caboclo,TOR,4,2,0,10,1
469,Cameron Bairstow,CHI,3,0,4,10,7
471,Jerel McNeal,PHX,3,1,2,9,5
472,David Stockton,SAC,2,1,3,8,10
472,Miroslav Raduljica,MIN,3,0,2,8,7
474,Gal Mekel,DAL,3,0,0,6,3
474,Lucas Nogueira,TOR,2,0,2,6,10
474,Patrick Christopher,MEM,3,0,0,6,3
474,Toure' Murry,UTA,2,0,2,6,2
478,Alex Kirk,CLE,1,0,2,4,3
478,Tyrus Thomas,MEM,1,0,2,4,5
480,Andre Dawkins,MIA,1,1,0,3,0
480,Andrei Kirilenko,BKN,0,0,3,3,6
480,Jamaal Franklin,DEN,1,1,0,3,5
483,Darius Miller,NOP,1,0,0,2,-1
483,Eric Moreland,SAC,1,0,0,2,3
483,Julius Randle,LAL,1,0,0,2,-3
483,Sim Bhullar,SAC,1,0,0,2,4
487,David Wear,SAC,0,0,0,0,1
487,Jerrelle Benimon,DEN,0,0,0,0,2
487,Kalin Lucas,MEM,0,0,0,0,0
487,Malcolm Lee,PHI,0,0,0,0,-1
487,Ronny Turiaf,MIN,0,0,0,0,3
487,Seth Curry,PHX,0,0,0,0,0
