RANK,PLAYER,TEAM,FGM,FG3M,FTM,PTS,EFF
1,James Harden,HOU,647,208,715,2217,2202
2,Stephen Curry,GSW,653,286,308,1900,2073
3,Russell Westbrook,OKC,627,86,546,1886,1857
4,LeBron James,CLE,624,120,375,1743,1748
5,Damian Lillard,POR,590,196,344,1720,1677
6,Klay Thompson,GSW,602,239,225,1668,1407
7,LaMarcus Aldridge,POR,659,37,306,1661,1693
8,Anthony Davis,NOP,642,1,371,1656,2059
9,Kyrie Irving,CLE,578,157,315,1628,1495
10,Chris Paul,LAC,568,139,289,1564,2125
11,Monta Ellis,DAL,602,81,228,1513,1180
12,Blake Griffin,LAC,574,10,311,1469,1591
13,Gordon Hayward,UTA,484,120,375,1463,1391
14,Pau Gasol,CHI,570,12,294,1446,1934
15,Rudy Gay,SAC,508,79,337,1432,1346
16,Nikola Vucevic,ORL,631,2,164,1428,1716
17,DeMarcus Cousins,SAC,498,2,423,1421,1631
18,Marc Gasol,MEM,530,3,350,1413,1743
19,Andrew Wiggins,MIN,497,39,354,1387,1138
19,John Wall,WAS,519,65,284,1387,1699
21,Eric Bledsoe,PHX,468,88,353,1377,1525
22,Dirk Nowitzki,DAL,487,104,255,1333,1314
23,Dwyane Wade,MIA,509,29,284,1331,1073
24,Tyreke Evans,NOP,521,69,202,1313,1408
25,Jimmy Butler,CHI,421,73,386,1301,1381
26,Victor Oladipo,ORL,473,84,262,1292,1153
27,JJ Redick,LAC,447,200,183,1277,1022
28,Goran Dragic,MIA,502,90,181,1275,1266
29,Markieff Morris,PHX,512,57,177,1258,1283
30,Kyle Lowry,TOR,430,132,252,1244,1321
31,Lou Williams,TOR,375,152,340,1242,946
32,Brook Lopez,BKN,506,1,223,1236,1354
33,Kevin Love,CLE,413,144,258,1228,1493
34,Paul Millsap,ATL,443,77,255,1218,1475
35,DeMar DeRozan,TOR,409,25,361,1204,984
36,Derrick Favors,UTA,482,1,222,1187,1422
37,Jeff Green,MEM,416,97,239,1168,1010
38,Tobias Harris,ORL,442,87,193,1164,1149
39,Enes Freedom,OKC,482,16,183,1163,1312
40,Jeff Teague,ATL,408,71,275,1162,1287
41,Al Horford,ATL,519,11,107,1156,1530
42,Joe Johnson,BKN,446,121,141,1154,1152
43,Ty Lawson,DEN,404,70,265,1143,1393
43,Zach Randolph,MEM,454,7,228,1143,1422
45,Andre Drummond,DET,494,0,142,1130,1705
46,Reggie Jackson,DET,432,72,181,1117,1190
