RANK,PLAYER,TEAM,FGM,FG3M,FTM,PTS,EFF
298,Sterling Brown,MIL,95,44,32,266,325
299,Ryan Arcidiacono,CHI,90,54,27,261,319
300,Dewayne Dedmon,ATL,102,22,30,256,377
300,Mario Hezonja,POR,92,24,48,256,356
302,DeAndre' Bembry,ATL,104,15,26,249,350
303,Denzel Valentine,CHI,97,46,6,246,227
304,Luguentz Dort,OKC,86,30,42,244,222
305,Jahlil Okafor,NOP,101,1,40,243,315
305,Sekou Doumbouya,DET,92,28,31,243,214
305,Treveon Graham,ATL,87,33,36,243,264
305,Trey Burke,DAL,94,32,23,243,252
309,Bruno Fernando,ATL,103,5,29,240,362
310,Cody Martin,CHA,89,18,42,238,354
311,Grant Williams,BOS,87,24,39,237,360
312,Semi Ojeleye,BOS,80,48,28,236,305
313,Reggie Bullock Jr.,NYK,90,37,17,234,215
314,Rodney Hood,POR,87,35,21,230,245
315,Jordan McLaughlin,MIN,87,29,26,229,306
316,Mike Muscala,OKC,77,54,18,226,262
317,Dwayne Bacon,CHA,85,19,35,224,187
317,Quinn Cook,LAL,91,31,11,224,179
319,J.J. Barea,DAL,85,32,20,222,232
320,John Henson,DET,95,8,23,221,368
321,Daniel Gafford,CHI,94,0,32,220,319
321,Terrance Ferguson,OKC,78,49,15,220,211
323,Cheick Diallo,PHX,92,1,34,219,308
323,Elie Okobo,PHX,72,25,50,219,284
325,Chandler Hutchison,CHI,80,12,46,218,232
325,Yogi Ferrell,SAC,79,24,36,218,215
327,Luke Kornet,CHI,82,31,20,215,241
327,Rodions Kurucs,BKN,79,33,24,215,275
329,Khem Birch,ORL,73,0,66,212,389
330,Jake Layman,MIN,81,24,24,210,179
331,Shaquille Harrison,CHI,77,16,39,209,279
332,Brandon Goodwin,ATL,76,26,28,206,200
333,Wilson Chandler,BKN,74,37,20,205,271
334,Matt Thomas,TOR,73,47,9,202,200
335,Anthony Tolliver,MEM,65,49,21,200,267
335,Troy Daniels,DEN,72,46,10,200,151
337,Josh Jackson,MEM,70,23,35,198,194
338,Kelan Martin,MIN,71,25,30,197,201
339,Dzanan Musa,BKN,64,19,45,192,178
340,Skal Labissiere,ATL,81,3,25,190,335
340,Willy Hernangomez,CHA,74,5,37,190,253
342,Dennis Smith Jr.,NYK,72,16,27,187,176
342,Rodney McGruder,LAC,72,24,19,187,260
344,Marvin Bagley III,SAC,78,4,25,185,197
345,Brandon Knight,DET,59,45,20,183,146
345,Wayne Ellington,NYK,61,50,11,183,176
347,Alfonzo McKinnie,CLE,73,14,22,182,207
348,Matthew Dellavedova,CLE,62,21,32,177,277
349,Marko Guduric,MEM,62,25,24,173,178
350,Allen Crabbe,MIN,63,36,10,172,166
350,Goga Bitadze,IND,70,8,24,172,231
350,Nassir Little,POR,65,14,28,172,212
353,Patrick McCaw,TOR,67,23,13,170,249
354,PJ Dozier,DEN,65,17,21,168,179
355,Otto Porter Jr.,CHI,62,24,19,167,164
356,Javonte Green,BOS,63,9,28,163,214
357,Chris Clemons,HOU,57,37,10,161,128
358,Dante Exum,CLE,56,15,32,159,182
359,Anzejs Pasecniks,WAS,61,0,34,156,199
359,Gary Clark,ORL,54,39,9,156,221
359,JaKarr Sampson,IND,68,2,18,156,222
362,Allonzo Trier,NYK,51,19,34,155,133
363,Keldon Johnson,SAS,53,13,35,154,184
364,Edmond Sumner,IND,61,14,16,152,161
365,Robert Williams III,BOS,64,0,22,150,305
366,Chris Chiozza,BKN,55,27,5,142,186
367,Jusuf Nurkic,POR,54,2,31,141,204
368,Kenrich Williams,NOP,51,25,9,136,292
369,Chris Silva,MIA,48,0,37,133,232
369,D.J. Wilson,MIL,52,18,11,133,152
371,Noah Vonleh,DEN,52,3,25,132,233
372,Jacob Evans,MIN,45,13,25,128,105
373,Justise Winslow,MEM,50,6,18,124,141
374,Carsen Edwards,BOS,42,24,13,121,101
375,Theo Pinson,NYK,45,15,15,120,107
376,Gary Payton II,WAS,48,13,4,113,189
377,Caleb Martin,CHA,37,20,17,111,125
377,Dion Waiters,LAL,41,15,14,111,88
379,Courtney Lee,DAL,40,21,6,107,121
379,Dragan Bender,GSW,41,15,10,107,145
379,Drew Eubanks,SAS,43,1,20,107,178
379,Isaiah Hartenstein,HOU,44,0,19,107,188
383,David Nwaba,HOU,37,12,18,104,129
383,Deonte Burton,OKC,43,10,8,104,88
383,Stephen Curry,GSW,33,12,26,104,105
386,Kyle O'Quinn,PHI,42,7,11,102,228
386,Ty Jerome,PHX,38,14,12,102,113
388,Admiral Schofield,WAS,35,19,10,99,104
388,Terance Mann,LAC,37,7,18,99,154
390,Garrison Mathews,WAS,24,19,31,98,98
391,Tim Frazier,DET,34,10,19,97,140
392,Andre Iguodala,MIA,38,14,6,96,175
392,Ante Zizic,CLE,41,0,14,96,134
394,Jordan Bell,CLE,35,4,19,93,138
395,Thabo Sefolosha,HOU,37,15,3,92,172
396,Bruno Caboclo,HOU,38,6,8,90,129
397,Jalen McDaniels,CHA,33,9,14,89,127
397,Justin James,SAC,35,9,10,89,86
399,Cameron Payne,PHX,33,15,6,87,105
399,DeMarre Carroll,HOU,25,8,29,87,109
401,Cristiano Felicio,CHI,34,0,18,86,173
402,T.J. Leaf,IND,36,5,7,84,111
403,Nicolas Batum,CHA,28,14,9,79,194
403,Romeo Langford,BOS,28,5,18,79,79
405,Al-Farouq Aminu,ORL,25,9,19,78,124
406,Mychal Mulder,GSW,26,16,9,77,62
406,Zach Collins,POR,32,7,6,77,120
408,Ryan Broekhoff,PHI,22,20,7,71,90
409,Juan Toscano-Anderson,GSW,29,8,3,69,113
410,Jared Dudley,LAL,24,18,2,68,122
410,Kevon Looney,GSW,29,1,9,68,107
412,Nic Claxton,BKN,27,1,11,66,95
413,Caleb Swanigan,POR,28,0,9,65,142
414,CJ Miles,WAS,19,11,15,64,53
414,Jeremiah Martin,BKN,24,5,11,64,65
416,Wenyen Gabriel,POR,21,6,15,63,91
417,Evan Turner,MIN,25,0,12,62,85
417,Frank Mason III,MIL,23,6,10,62,70
417,Rayjon Tucker,UTA,20,3,19,62,54
420,Michael Kidd-Gilchrist,DAL,22,5,11,60,86
420,Stanley Johnson,TOR,22,7,9,60,68
422,Alen Smailagic,GSW,20,3,16,59,72
423,Amir Coffey,LAC,23,6,6,58,51
423,Chimezie Metu,SAS,24,0,10,58,79
425,Jaylen Nowell,MIN,19,3,16,57,55
425,Norvel Pelle,PHI,25,0,7,57,123
427,Thanasis Antetokounmpo,MIL,24,0,7,55,57
428,Iman Shumpert,BKN,21,8,4,54,58
428,John Konchar,MEM,24,5,1,54,112
430,Derrick Walton Jr.,DET,18,10,7,53,75
431,Ed Davis,UTA,22,0,7,51,144
432,DaQuan Jeffries,SAC,20,5,5,50,57
432,Kadeem Allen,NYK,19,5,7,50,50
434,Johnathan Williams,WAS,19,0,7,45,100
435,Mfiondu Kabengele,LAC,14,9,5,42,39
436,Vincent Poirier,BOS,17,1,6,41,75
437,Bol Bol,DEN,14,4,8,40,47
437,Melvin Frazier Jr.,ORL,15,8,2,40,38
437,Tremont Waters,BOS,14,4,8,40,30
437,Tyrone Wallace,ATL,14,1,11,40,37
441,Donta Hall,BKN,15,0,9,39,69
442,Jaylen Hoard,POR,15,0,8,38,53
443,Oshae Brissett,TOR,13,3,8,37,43
444,Juwan Morgan,UTA,15,3,3,36,56
444,Yuta Watanabe,MEM,15,3,3,36,41
446,Malcolm Miller,TOR,12,8,3,35,43
446,Miye Oni,UTA,12,7,4,35,37
448,Alize Johnson,IND,12,3,7,34,67
448,Talen Horton-Tucker,LAL,14,4,2,34,32
448,Tyson Chandler,HOU,14,0,6,34,101
451,Adam Mokoka,CHI,12,6,2,32,30
452,Paul Watson,TOR,10,4,7,31,40
453,BJ Johnson,ORL,9,3,9,30,21
454,Johnathan Motley,LAC,11,1,5,28,38
454,Justin Anderson,BKN,10,6,2,28,29
456,Jerian Grant,WAS,10,2,5,27,22
456,Michael Frazier II,HOU,7,4,9,27,9
458,Jeremy Pargo,GSW,11,3,0,25,21
459,Jarrell Brantley,UTA,10,3,1,24,37
459,Lance Thomas,BKN,8,4,4,24,22
461,Tacko Fall,BOS,11,0,1,23,36
461,Tyler Cook,DEN,8,0,7,23,33
463,Gabe Vincent,MIA,8,6,0,22,8
464,Andre Roberson,OKC,8,3,1,20,31
464,Charlie Brown Jr.,ATL,6,3,5,20,14
464,Dean Wade,CLE,9,2,0,20,39
464,Devon Hall,OKC,6,4,4,20,12
464,Louis King,DET,8,4,0,20,19
469,Jarrod Uthoff,WAS,7,3,2,19,15
469,Justin Wright-Foreman,UTA,7,2,3,19,16
471,Ignas Brazdeikis,NYK,6,1,4,17,8
471,JR Smith,LAL,7,1,2,17,7
471,Kevin Hervey,OKC,7,3,0,17,16
471,Khyri Thomas,DET,5,5,2,17,7
471,Vlatko Cancar,DEN,6,1,4,17,20
476,Luka Samanic,SAS,5,3,3,16,20
476,Sindarius Thornwell,NOP,6,2,2,16,17
478,Amile Jefferson,ORL,5,0,5,15,25
478,Vic Law,ORL,6,1,2,15,13
480,Chandler Parsons,ATL,5,4,0,14,13
480,Dewan Hernandez,TOR,5,1,3,14,18
480,Joakim Noah,LAC,4,0,6,14,27
480,Naz Mitrou-Long,IND,6,2,0,14,17
480,Nigel Williams-Goss,UTA,5,2,2,14,16
485,Justin Robinson,WAS,5,3,0,13,16
486,Dusty Hannahs,MEM,4,2,2,12,8
486,Jarred Vanderbilt,MIN,5,0,2,12,17
486,Jordan Bone,DET,5,2,0,12,8
486,Josh Magette,ORL,5,1,1,12,11
486,Quinndary Weatherspoon,SAS,5,1,1,12,16
486,Udonis Haslem,MIA,4,1,3,12,20
486,Zylan Cheatham,NOP,6,0,0,12,19
493,Antonius Cleveland,DAL,4,0,3,11,9
493,Marial Shayok,PHI,3,2,3,11,7
493,Moses Brown,POR,4,0,3,11,14
496,Jalen Lecque,PHX,4,0,2,10,6
496,Jonah Bolden,PHX,4,0,2,10,13
496,Zach Norvell Jr.,GSW,3,3,1,10,9
499,Justin Patton,DET,4,1,0,9,8
499,Shamorie Ponds,TOR,3,1,2,9,11
501,Josh Reaves,DAL,3,0,2,8,8
501,Zhaire Smith,PHI,3,0,2,8,3
503,KZ Okpala,MIA,3,0,1,7,12
503,Kostas Antetokounmpo,LAL,3,0,1,7,10
505,Brian Bowen II,IND,3,0,0,6,6
505,Devontae Cacok,LAL,3,0,0,6,9
505,Eric Mika,SAC,2,0,2,6,12
508,Chasson Randle,GSW,0,0,5,5,9
508,Corey Brewer,SAC,2,0,1,5,13
508,Jamal Crawford,BKN,2,1,0,5,6
508,Luc Mbah a Moute,HOU,2,0,1,5,4
508,Max Strus,CHI,2,0,1,5,5
508,Ryan Anderson,HOU,2,1,0,5,9
514,Kyle Guy,SAC,2,0,0,4,3
514,Tariq Owens,PHX,1,0,2,4,4
516,Daryl Macon,MIA,1,1,0,3,0
517,Henry Ellenson,BKN,1,0,0,2,3
517,Jared Harper,NYK,1,0,0,2,-1
517,Joe Chealey,CHA,0,0,2,2,-2
517,Josh Gray,NOP,1,0,0,2,0
517,Kyle Alexander,MIA,1,0,0,2,3
517,Malik Newman,CLE,0,0,2,2,-1
517,Matt Mooney,CLE,1,0,0,2,6
517,Tyler Zeller,SAS,1,0,0,2,3
525,Isaiah Roby,OKC,0,0,0,0,0
525,J.P. Macura,CLE,0,0,0,0,0
525,Marques Bolden,CLE,0,0,0,0,3
525,Stanton Kidd,UTA,0,0,0,0,-1
525,William Howard,HOU,0,0,0,0,-2
