RANK,PLAYER,TEAM,FGM,FG3M,FTM,PTS,EFF
1,James Harden,HOU,672,299,692,2335,2220
2,Damian Lillard,POR,624,270,460,1978,1907
3,Devin Booker,PHX,627,141,468,1863,1722
4,Giannis Antetokounmpo,MIL,685,89,398,1857,2180
5,Trae Young,ATL,546,205,481,1778,1596
6,Luka Doncic,DAL,581,171,426,1759,1876
7,Bradley Beal,WAS,593,170,385,1741,1448
8,LeBron James,LAL,643,148,264,1698,1983
9,Donovan Mitchell,UTA,602,173,278,1655,1369
10,Anthony Davis,LAL,551,72,444,1618,1849
11,CJ McCollum,POR,611,194,140,1556,1342
12,Russell Westbrook,HOU,604,55,290,1553,1496
13,Jayson Tatum,BOS,552,189,254,1547,1469
14,Kawhi Leonard,LAC,532,123,356,1543,1565
15,Zach LaVine,CHI,539,184,268,1530,1257
16,DeMar DeRozan,SAS,557,9,381,1504,1623
17,Brandon Ingram,NOP,507,150,313,1477,1382
18,Nikola Jokic,DEN,565,80,246,1456,2021
19,Tobias Harris,PHI,553,131,174,1411,1460
20,Buddy Hield,SAC,498,271,115,1382,1153
21,Pascal Siakam,TOR,500,131,240,1371,1316
22,Collin Sexton,CLE,513,97,226,1349,1045
23,Shai Gilgeous-Alexander,OKC,478,87,288,1331,1361
24,T.J. Warren,IND,534,91,167,1326,1233
25,Spencer Dinwiddie,BKN,424,123,347,1318,1162
26,Khris Middleton,MIL,471,147,208,1297,1372
27,Bojan Bogdanovic,UTA,418,189,250,1275,1003
28,Julius Randle,NYK,463,64,258,1248,1311
29,Chris Paul,OKC,434,111,253,1232,1535
30,Dennis Schroder,OKC,453,125,198,1229,1070
31,Evan Fournier,ORL,434,173,180,1221,1027
32,Nikola Vucevic,ORL,493,98,131,1215,1547
33,Ja Morant,MEM,447,60,239,1193,1237
34,Lou Williams,LAC,391,111,292,1185,1032
35,Dillon Brooks,MEM,435,147,164,1181,868
36,Andrew Wiggins,GSW,437,111,190,1175,994
37,Montrezl Harrell,LAC,471,0,231,1173,1267
38,Joel Embiid,PHI,382,57,351,1172,1365
39,Jrue Holiday,NOP,458,122,129,1167,1230
40,Kristaps Porzingis,DAL,398,142,226,1164,1279
41,Danilo Gallinari,OKC,358,178,266,1160,1081
42,Jaylen Brown,BOS,427,129,176,1159,1074
43,Jimmy Butler,MIA,345,29,438,1157,1401
44,Domantas Sabonis,IND,458,17,214,1147,1663
45,Bam Adebayo,MIA,440,2,264,1146,1752
46,Devonte' Graham,CHA,368,218,191,1145,1087
46,Kemba Walker,BOS,378,180,209,1145,1045
48,Terry Rozier,CHA,398,172,166,1134,1032
49,Kyle Lowry,TOR,334,164,294,1126,1263
50,Tim Hardaway Jr.,DAL,384,204,149,1121,934
51,Jamal Murray,DEN,408,112,163,1091,1060
52,Jordan Clarkson,UTA,394,152,138,1078,866
53,De'Aaron Fox,SAC,391,54,241,1077,1037
54,Harrison Barnes,SAC,365,102,214,1046,1046
54,Kelly Oubre Jr.,PHX,373,108,192,1046,1013
56,Jonas Valanciunas,MEM,432,32,148,1044,1583
57,Hassan Whiteside,POR,436,4,164,1040,1784
58,D'Angelo Russell,MIN,360,158,161,1039,891
59,Marcus Morris Sr.,LAC,355,142,181,1033,916
59,Paul George,LAC,343,157,190,1033,987
61,Rudy Gobert,UTA,386,0,254,1026,1779
62,Kendrick Nunn,MIA,401,137,85,1024,853
63,Terrence Ross,ORL,341,177,157,1016,819
64,Andre Drummond,CLE,418,5,169,1010,1534
65,LaMarcus Aldridge,SAS,391,61,158,1001,1136
66,Joe Harris,BKN,381,172,64,998,966
67,Alec Burks,PHI,321,116,235,993,975
68,Jaren Jackson Jr.,MEM,353,145,139,990,916
69,Kevin Love,CLE,327,146,187,987,1192
70,Duncan Robinson,MIA,323,270,67,983,932
71,Goran Dragic,MIA,319,124,191,953,887
72,Fred VanVleet,TOR,319,146,168,952,1024
73,Ben Simmons,PHI,375,2,185,937,1403
74,Karl-Anthony Towns,MIN,316,114,180,926,1070
75,Bogdan Bogdanovic,SAC,337,164,86,924,856
76,JJ Redick,NOP,286,180,165,917,777
77,Eric Bledsoe,MIL,334,74,169,911,1042
78,Gordon Hayward,BOS,350,85,124,909,1062
79,Derrick Rose,DET,369,45,121,904,831
80,Carmelo Anthony,POR,336,87,136,895,853
81,Aaron Gordon,ORL,335,73,151,894,1082
82,Malcolm Brogdon,IND,326,75,166,893,1012
83,John Collins,ATL,353,59,120,885,1101
84,Will Barton,DEN,332,108,102,874,1016
85,Markelle Fultz,ORL,359,36,116,870,975
85,Robert Covington,HOU,305,161,99,870,1083
87,Coby White,CHI,312,133,102,859,703
88,Jerami Grant,DEN,303,98,147,851,851
89,Ricky Rubio,PHX,287,78,195,847,1217
90,Serge Ibaka,TOR,343,70,89,845,977
91,Miles Bridges,CHA,319,99,106,843,853
92,Caris LeVert,BKN,311,80,140,842,697
93,Eric Paschall,GSW,318,37,164,837,820
94,Davis Bertans,WAS,265,200,104,834,819
95,Nemanja Bjelica,SAC,314,134,69,831,1141
96,Norman Powell,TOR,296,109,129,830,789
97,Brook Lopez,MIL,292,102,127,813,959
98,Christian Wood,DET,288,54,180,810,982
99,RJ Barrett,NYK,292,63,156,803,640
100,Al Horford,PHI,319,99,61,798,1148
101,Seth Curry,DAL,284,145,80,793,740
102,Kyle Kuzma,LAL,291,86,114,782,680
103,De'Andre Hunter,ATL,280,108,110,778,698
104,Marcus Smart,BOS,256,137,127,776,868
105,Jarrett Allen,BKN,302,0,171,775,1349
106,Taurean Prince,BKN,278,146,71,773,746
107,Patty Mills,SAS,258,154,97,767,643
108,Derrick White,SAS,253,79,180,765,913
109,Josh Richardson,PHI,278,85,114,755,680
110,Myles Turner,IND,268,86,127,749,960
111,Lonzo Ball,NOP,277,148,43,745,1056
112,Tyler Herro,MIA,270,116,87,743,670
113,Ish Smith,WAS,308,62,62,740,882
114,Lauri Markkanen,CHI,251,109,126,737,741
115,OG Anunoby,TOR,286,89,72,733,957
116,Darius Garland,CLE,280,105,63,728,535
117,Glenn Robinson III,PHI,288,77,74,727,792
118,Rudy Gay,SAS,266,74,120,726,836
119,Dejounte Murray,SAS,294,41,91,720,1011
120,Cedi Osman,CLE,266,123,63,718,708
121,Troy Brown Jr.,WAS,273,61,109,716,911
122,Ben McLemore,HOU,242,181,50,715,621
123,Doug McDermott,IND,267,128,48,710,647
123,P.J. Washington,CHA,268,86,88,710,782
125,Bryn Forbes,SAS,242,148,75,707,563
125,Joe Ingles,UTA,246,141,74,707,965
127,Dario Saric,PHX,256,84,108,704,896
127,Furkan Korkmaz,PHI,242,143,77,704,603
129,Brandon Clarke,MEM,296,23,85,700,941
130,Deandre Ayton,PHX,310,3,67,690,922
131,Jae Crowder,MIA,226,135,97,684,891
131,Kevin Huerter,ATL,252,127,53,684,747
131,Steven Adams,OKC,283,1,117,684,1158
131,Tristan Thompson,CLE,288,9,99,684,1025
135,Dorian Finney-Smith,DAL,243,114,78,678,903
136,Langston Galloway,DET,236,132,73,677,628
137,Mike Conley,UTA,232,96,115,675,624
138,Maxi Kleber,DAL,237,119,79,672,907
139,Bobby Portis,NYK,265,67,71,668,735
140,Mikal Bridges,PHX,247,70,103,667,907
141,Danuel House Jr.,HOU,230,129,73,662,735
142,Monte Morris,DEN,260,65,75,660,751
143,Thaddeus Young,CHI,269,79,42,659,742
144,Josh Hart,NOP,225,121,85,656,863
145,Rui Hachimura,WAS,254,25,116,649,707
146,Kentavious Caldwell-Pope,LAL,237,92,79,645,614
147,Tomas Satoransky,CHI,237,64,106,644,880
148,Cody Zeller,CHA,251,18,122,642,846
149,Garrett Temple,BKN,222,127,70,641,649
149,Jeff Teague,ATL,213,43,172,641,737
151,Aaron Holiday,IND,233,87,74,627,648
152,Damion Lee,GSW,213,85,110,621,668
153,Malik Beasley,MIN,227,107,54,615,510
154,Cam Reddish,ATL,213,83,101,610,541
154,Donte DiVincenzo,MIL,232,83,63,610,796
156,Thomas Bryant,WAS,243,37,86,609,839
157,Justin Holiday,IND,208,134,53,603,731
158,Daniel Theis,BOS,241,32,87,601,993
159,D.J. Augustin,ORL,184,70,161,599,635
160,Kent Bazemore,SAC,200,84,113,597,639
161,Austin Rivers,HOU,211,96,78,596,570
161,Ivica Zubac,LAC,236,0,124,596,1051
163,Paul Millsap,DEN,211,54,115,591,718
164,Mitchell Robinson,NYK,253,0,84,590,1036
165,Gary Harris,DEN,218,70,75,581,574
166,Jarrett Culver,MIN,230,66,54,580,514
167,Anfernee Simons,POR,214,75,76,579,465
168,Shabazz Napier,WAS,188,76,126,578,655
169,Jeremy Lamb,IND,216,53,92,577,619
170,Larry Nance Jr.,CLE,229,56,50,564,888
170,Malik Monk,CHA,212,58,82,564,505
172,Markieff Morris,LAL,203,88,66,560,553
173,George Hill,MIL,194,81,85,554,708
174,Kelly Olynyk,MIA,184,95,86,549,739
175,Kyrie Irving,BKN,199,56,94,548,539
175,Marquese Chriss,GSW,210,8,120,548,839
177,Danny Green,LAL,197,120,33,547,625
178,Clint Capela,ATL,244,0,55,543,977
178,Terence Davis,TOR,199,94,51,543,627
180,Gary Trent Jr.,POR,196,112,37,541,492
181,Zion Williamson,NOP,210,6,114,540,492
182,Richaun Holmes,SAC,223,0,93,539,838
183,Josh Okogie,MIN,170,41,152,533,640
184,Jabari Parker,SAC,219,32,61,531,580
185,Eric Gordon,HOU,171,96,82,520,321
186,Bruce Brown,DET,198,33,88,517,733
186,Dwight Howard,LAL,202,3,110,517,916
188,Michael Porter Jr.,DEN,195,62,60,512,620
189,Cameron Johnson,PHX,176,106,46,504,544
189,Delon Wright,DAL,190,47,77,504,818
189,Svi Mykhailiuk,DET,166,115,57,504,446
192,Jordan Poole,GSW,167,74,95,503,367
193,Derrick Jones Jr.,MIA,184,37,95,500,668
193,P.J. Tucker,HOU,177,107,39,500,874
195,Kevin Porter Jr.,CLE,186,53,73,498,473
196,Wesley Matthews,MIL,167,108,52,494,485
197,Landry Shamet,LAC,158,111,65,492,435
198,Isaiah Thomas,WAS,174,78,62,488,378
199,Brad Wanamaker,BOS,162,37,126,487,599
200,Tyus Jones,MEM,197,47,43,484,635
200,Wendell Carter Jr.,CHI,183,6,112,484,737
202,Aron Baynes,PHX,183,59,56,481,551
203,Tony Snell,DET,170,102,32,474,516
204,Jaxson Hayes,NOP,174,1,123,472,663
205,Enes Freedom,BOS,199,1,70,469,785
206,E'Twaun Moore,NOP,186,63,31,466,413
206,Jalen Brunson,DAL,181,43,61,466,527
208,DeAndre Jordan,BKN,191,0,83,465,992
209,Gorgui Dieng,MEM,166,54,78,464,720
209,T.J. McConnell,IND,212,5,35,464,769
211,Derrick Favors,NOP,209,1,40,459,901
212,Cory Joseph,SAC,171,56,60,458,640
213,De'Anthony Melton,MEM,161,40,93,455,595
214,James Ennis III,ORL,160,55,79,454,543
215,Jeff Green,HOU,159,62,73,453,436
216,Royce O'Neale,UTA,158,92,42,450,829
217,Elfrid Payton,NYK,193,14,49,449,691
217,Nerlens Noel,OKC,184,1,80,449,779
219,JaVale McGee,LAL,195,3,53,446,808
220,Luke Kennard,DET,151,73,67,442,431
221,Alex Len,SAC,177,16,68,438,646
222,Mason Plumlee,DEN,177,0,83,437,714
223,JaMychal Green,LAC,151,92,36,430,653
224,Jordan McRae,DET,149,45,83,426,394
225,Avery Bradley,LAL,170,63,20,423,385
225,Trevor Ariza,POR,142,77,62,423,594
227,Kevin Knox II,NYK,144,65,66,419,378
228,Rondae Hollis-Jefferson,TOR,155,3,105,418,605
229,Ersan Ilyasova,MIL,146,50,72,414,590
230,Chris Boucher,TOR,141,38,91,411,586
231,Mike Scott,PHI,149,80,30,408,505
232,Patrick Beverley,LAC,147,80,31,405,657
233,Jonathan Isaac,ORL,156,32,60,404,572
233,Trey Lyles,SAS,153,65,33,404,649
235,Emmanuel Mudiay,UTA,151,30,63,395,399
235,Nicolo Melli,NOP,136,69,54,395,462
237,Bismack Biyombo,CHA,151,0,91,393,575
237,Moritz Wagner,WAS,145,25,78,393,511
239,Georges Niang,UTA,141,90,20,392,371
240,Kyle Anderson,MEM,157,24,52,390,662
240,Willie Cauley-Stein,DAL,175,0,40,390,692
242,Lonnie Walker IV,SAS,152,41,44,389,376
243,Kyle Korver,MIL,126,99,35,386,393
244,Taj Gibson,NYK,167,4,41,379,574
245,Frank Kaminsky,PHX,138,41,61,378,418
246,Shake Milton,PHI,134,58,51,377,392
247,Dwight Powell,DAL,146,10,74,376,562
248,Kris Dunn,CHI,152,29,40,373,578
249,Jakob Poeltl,SAS,166,0,40,372,795
250,Frank Jackson,NOP,134,47,56,371,271
251,Omari Spellman,MIN,127,43,73,370,452
251,Reggie Jackson,LAC,134,57,45,370,354
253,Timothe Luwawu-Cabarrot,BKN,117,62,69,365,345
254,Marco Belinelli,SAS,123,67,48,361,322
255,Justin Jackson,DAL,135,48,42,360,363
255,Pat Connaughton,MIL,137,55,31,360,582
257,Frank Ntilikina,NYK,131,44,51,357,439
257,Maurice Harkless,NYK,142,34,39,357,535
257,Robin Lopez,MIL,147,35,28,357,378
260,Alex Caruso,LAL,120,40,69,349,435
261,Abdel Nader,OKC,123,48,51,345,328
261,Draymond Green,GSW,123,36,63,345,658
263,Marvin Williams,MIL,119,56,49,343,463
264,Darius Bazley,OKC,125,49,43,342,437
264,Rajon Rondo,LAL,137,41,27,342,470
266,Ky Bowman,GSW,134,33,34,335,377
267,Mo Bamba,ORL,132,37,31,332,574
268,Marc Gasol,TOR,119,57,36,331,593
269,Grayson Allen,MEM,117,57,39,330,306
269,Isaac Bonga,WAS,118,25,69,330,505
271,Michael Carter-Williams,ORL,111,22,79,323,433
271,Solomon Hill,MIA,110,63,40,323,414
273,Damyean Dotson,NYK,120,59,22,321,294
274,Jerome Robinson,WAS,115,49,40,319,319
275,Hamidou Diallo,OKC,132,16,38,318,327
276,Harry Giles III,SAC,139,0,38,316,437
277,Torrey Craig,DEN,124,45,22,315,426
278,Meyers Leonard,MIA,119,53,18,309,489
279,Damian Jones,ATL,121,2,62,306,506
280,Matisse Thybulle,PHI,112,56,25,305,411
281,Wes Iwundu,ORL,97,28,78,300,348
282,Vince Carter,ATL,107,61,23,298,282
283,Patrick Patterson,LAC,95,67,35,292,327
284,Boban Marjanovic,DAL,121,4,43,289,390
285,Juancho Hernangomez,MIN,100,44,44,288,347
285,Keita Bates-Diop,DEN,100,34,54,288,316
287,Jevon Carter,PHX,101,62,23,287,375
288,Tony Bradley,UTA,126,3,30,285,513
289,Ian Mahinmi,WAS,104,5,70,283,431
290,Thon Maker,DET,93,22,73,281,373
291,Blake Griffin,DET,88,27,76,279,212
292,Raul Neto,PHI,101,34,39,275,285
292,Victor Oladipo,IND,97,33,48,275,220
294,Tyler Johnson,BKN,97,38,42,274,259
295,James Johnson,MIN,103,33,31,270,342
296,Naz Reid,MIN,100,32,37,269,288
297,Nickeil Alexander-Walker,NOP,98,46,25,267,231
